,AGID,lab_id,catalog_number,set_id,peptide_target,protein_expression,gene_name,validation_status,antibody_origin,type,control1,fold_change
0,AGID00275,2477.125018423533,3024,Set181,PKCALPHA,0.24771635343382997,HLA-DQA1,Valid,Mouse,Protein,-0.025884445028631325,2.9515377624837393
1,AGID02145,462.47350796144065,sc-13157,Old,IGF1R_pY1135Y1136,0.13668980936561295,JUN,Valid,Rat,Protein,-0.42538521344339125,3.64186949511862
2,AGID00164,1489.6289542009497,4691,Set181,ASNS,0.6255896977637998,EGFR,Caution,Rat,PTM,-0.9971511393650014,3.6178101844052764
3,AGID00231,1232.8433949354173,2208,Set181,EGFR,1.296531314486854,PAX8,Caution,Rabbit,Protein,-0.7276938704214787,2.2207097078730333
4,AGID00081,1.8605635029339282,3050,Old,DAPK2,0.9231278621835664,L1CAM,Valid,Rabbit,PTM,-0.8829866402973077,0.6333457181813902
5,AGID00445,835.0292516626208,PA5-27081,Old,MAPK_pT202Y204,0.5975235848122733,SDHB,Caution,Rabbit,PTM,-0.4667624631415463,0.9777629776592471
6,AGID00089,1172.3528164665813,sc-136891,Old,Enolase-1,0.4831946123634623,TSC2,Valid,Rat,Protein,-0.050979509345872615,0.4872927691492587
7,AGID00091,1185.05821119935,sc-377312,Old,Cyclophilin-F,0.22732399471697415,CDC6,Under Evaluation,Rabbit,PTM,-0.35195435096408684,0.22296468684069218
8,AGID00309,1698.1522182691021,2348,Set181,D _POLG,2.152828035916676,HSPB1,Under Evaluation,Rat,PTM,0.20887718299956748,-0.7400031668965454
9,AGID00044,1078.287569227431,9857,Old,MITF,0.006196968916192979,NQO1,Caution,Mouse,PTM,-0.4868365694709874,1.6989529344499998
10,AGID00047,257.0541375955754,ab1791,Set181,RIP,0.11572362068691172,NDUFB4,Caution,Goat,Protein,0.15164427021633453,0.9506833413326633
11,AGID00070,174.27735181609185,8567,Set181,AMPKALPHA,0.3471447028950232,COPS5,Valid,Rabbit,PTM,1.0941866834165819,1.608165964786548
12,AGID00018,1187.983844942106,610066,Set181,YAP_pS127,0.3900662929602576,DNM1L,Under Evaluation,Rat,PTM,-0.08537707012149076,1.761372795179009
13,AGID00498,1214.3890443881455,12793,Old,ARAF_pS299,0.5485138204121613,CCNE1,Caution,Rabbit,Protein,0.02932530408544139,3.359676690986074
14,AGID00171,1613.881409027249,9718,Old,COG3,-0.31855981647426945,IGFBP2,Caution,Goat,Protein,-0.005773925595941892,1.0575965346203937
15,AGID00264,624.0256552536624,2772,Set181,FRS2-alpha_pY196,1.1109142628714963,NDRG1,Valid,Rabbit,Protein,-0.6078656267763702,1.5413081967296343
16,AGID00234,2300.0536461510483,2780,Old,STAT5ALPHA,0.2636350672052947,LYN,Under Evaluation,Rabbit,Protein,-0.3403944894199618,2.592883388704853
17,AGID00210,2458.053633449219,PA5-27856,Set181,GSK3ALPHABETA,1.0244470941849173,CANX,Caution,Rabbit,PTM,-0.4204800608954552,0.8189118081236755
18,AGID00356,1727.8975813033553,12153,Old,AR,0.6451594811807753,MAPK8,Under Evaluation,Mouse,PTM,1.7021978471678654,1.348505383230751
19,AGID00202,143.407189253396,ab110324,Old,GYS,0.461350520156866,MMP2,Caution,Goat,PTM,1.3866818310065347,-2.782671395834031
20,AGID00213,500.40244933979363,6347,Old,DM-K9-Histone-H3,0.24789426072069315,SRC,Caution,Rat,Protein,-0.34091024414696924,6.431335682016151
21,AGID00298,1071.9287471659882,12263,Old,Atg5,0.2984700228420215,AKT1S1,Valid,Rat,PTM,0.09838856899851794,1.0789257983695044
22,AGID00087,1901.6006190399225,5026,Set181,PAR,-0.23387758921450924,VAV1,Valid,Rabbit,Protein,-0.27799081282243715,-3.5109498508735686
23,AGID00207,1242.00221769266,3238,Old,Wee1_pS642,-0.2002904640092282,NFE2L2,Caution,Mouse,Protein,-0.5230854241989524,2.0367949672152275
24,AGID00185,1969.0059871581611,2865,Old,Slfn11,0.034307705041605754,ENY2,Caution,Rat,PTM,-0.4041172068818986,0.18089804529451797
25,AGID00111,555.7683885463556,HPA005651,Old,PHLPP,0.6342738669898612,MAP2K1,Caution,Mouse,Protein,-0.4651545959301914,-3.47816387220466
26,AGID00151,1109.585851697492,ab88574,Old,eIF4E_pS209,1.027651896784907,PARP1,Valid,Mouse,PTM,-1.306946371861222,3.057987490768293
27,AGID00028,1220.063561779494,3305,Set181,IRF-3_pS396,0.4903324323195448,UVRAG,Valid,Goat,PTM,-0.21879809788149726,1.7238619755019897
28,AGID00145,1155.7295504631888,9315,Old,VEGFR2,0.39067821275495834,YTHDF2,Valid,Mouse,Protein,-0.39987347783294047,1.6190035629470856
29,AGID00082,2243.115301336338,A303-501A,Set181,1433ZETA,0.20117840302735462,RELA,Valid,Goat,PTM,-0.266644856296547,2.4564251891741598
30,AGID00235,2068.421811814107,13141,Set181,DNMT1,-0.4937728445645704,PRC1,Caution,Mouse,PTM,-0.251718689079258,2.1273956156850753
31,AGID00433,2309.4996966151207,3397,Set181,Lasu1,1.010240908381398,PIK3CB,Under Evaluation,Rabbit,PTM,-0.7966209776180404,9.433046839733843
32,AGID00042,2301.930787803341,1852-1/ab52615,Old,Cdc42,0.24387957047739964,PLK1,Valid,Rat,Protein,1.9934197376252556,1.843680483809418
33,AGID00029,622.1981812151527,sc-136145,Old,RBM15,2.0015283176424967,NOTCH3,Valid,Rabbit,Protein,1.7270287506712554,-1.706103994941992
34,AGID00172,2006.6885807428139,2317,Set181,SOD1,0.7676300723728379,PRKCA/PRKCB,Valid,Goat,Protein,-1.682097092143791,1.7281981231212953
35,AGID00007,1047.0866220396417,sc-6246,Old,ENY2,0.7848413901539324,PIK3CA,Caution,Rat,PTM,-0.15602061010145327,3.815745946227774
36,AGID00109,713.4415182733671,sc-20121,Old,CD44,0.5477386964871966,PAK1,Under Evaluation,Mouse,Protein,-1.3929702742885335,3.3844366568817197
37,AGID00295,884.2081381539774,2234,Old,GYS,0.07686300487289678,CD274,Under Evaluation,Goat,Protein,0.18353490874615164,1.0562477351807695
38,AGID00372,2086.4442797384754,9228,Old,MCT4,0.2747233958863238,CAV1,Valid,Goat,Protein,-0.39565290964905453,1.592503698372425
39,AGID00051,-6.922146426479173,9455,Set181,CABL,0.11433326273037912,NR3C1,Caution,Rat,Protein,-0.388237770005432,0.12622681414035908
40,AGID00117,964.6675758655854,sc-136145,Set181,UBAC1,0.34438585903239916,PRKCA,Valid,Mouse,Protein,-0.15808287054664907,2.0447317950637354
41,AGID00016,1402.7575705538338,H00005837-M10,Old,cGAS,0.7875538989332563,PRC1,Valid,Rat,PTM,-0.10880076746630148,3.494622714999174
42,AGID00193,2075.4221879977226,9336,Set181,CDK1,0.4598018249686189,CAV1,Valid,Rabbit,Protein,0.3402353254870388,1.1579426526533745
43,AGID00060,109.00430170248757,12994,Set181,p44-42-MAPK,0.7194120343974048,XBP1,Under Evaluation,Rat,Protein,-0.06864622349266607,0.8355978772703234
44,AGID00074,2644.3534223132838,3050,Old,AMPK-a2_pS345,1.174589939239511,ASNS,Valid,Goat,PTM,-0.24739647550493593,6.642470404012117
45,AGID00277,2244.853161081819,13428,Set181,HER3_pY1289,0.086071902862278,TUBA4A,Valid,Mouse,PTM,-1.219948917361474,2.293348237946237
46,AGID00250,919.5308784479269,9455,Set181,D -Ligase-IV,0.19543900650113324,CDC42/RAC1,Valid,Rabbit,PTM,-0.18075252918893914,-0.019078728497108455
47,AGID02215,1238.4933332143473,ab173300,Old,VEGFR2,2.0025796653482537,VTCN1,Under Evaluation,Rat,PTM,0.08538109217815379,-0.70342693701125
48,AGID00023,863.5977237794746,sc-81417,Set181,MCT4,2.6148228837086895,PDGFRB,Under Evaluation,Mouse,PTM,0.5889592812268429,2.3948182923204344
49,AGID02142,1115.3340782192881,22710002,Old,KAP1,0.8501332315640682,SERPINE1,Caution,Rabbit,PTM,-0.3626545949529976,1.6192773704053052
50,AGID00317,2567.4148308331805,3239,Old,Histone-H3_pS10,0.47701211006164507,MKNK1,Under Evaluation,Mouse,PTM,0.15292435608868496,0.6148968521638252
51,AGID00208,31.803216135622506,3660,Set181,MDM2_pS166,0.3589187215919432,PAICS,Caution,Rabbit,PTM,1.4118651793354862,1.4875567690827936
52,AGID00082,-57.54200502807208,ab69838,Set181,CHK1_pS296,0.5282816924069782,PYGL,Caution,Rabbit,PTM,-0.4015992952645034,5.196495762121045
53,AGID00248,-63.98052327224076,1542-1/ab32371,Set181,TRAP1,-0.04056863202670763,CTNNB1,Caution,Rat,PTM,1.6962879292048891,-0.018791217645375724
54,AGID00397,1386.0133972358738,11130-1-AP,Old,EphA2,0.09455749221372173,PDPK1,Valid,Rat,PTM,0.04009776558871184,1.4355473158368304
55,AGID00436,487.51219293653986,11925,Old,NRF2,0.5532026973914094,ACSS2,Caution,Rabbit,Protein,0.2657732389780593,0.811066433474381
56,AGID00345,2234.8926876494656,610978,Set181,RBM15,0.3226139777054557,HSPD1,Caution,Goat,PTM,-0.09084688748139502,2.892417226937704
57,AGID00420,490.3998612694656,9552,Old,CDK1_pY15,0.6571570564366785,NFE2L2,Valid,Rabbit,Protein,-0.037581997638124226,2.2386409973672556
58,AGID00151,1083.8581434741905,14475,Set181,DDR1_pY513,-0.2188082081959649,MECOM,Under Evaluation,Goat,Protein,-0.24499379474100305,5.357290388551905
59,AGID00395,1478.0680561640913,4691,Set181,PARPCLEAVED,-0.2695345959346012,TP53BP1,Valid,Mouse,Protein,-0.5457967693056233,-0.057786463519216846
60,AGID00402,86.71636451296473,ab129081,Set181,BCL2A1,0.7522378620666493,NOTCH3,Under Evaluation,Rabbit,Protein,1.8639654732311506,2.7988085435461914
61,AGID00209,793.1729146294969,ab51061,Old,PAICS,0.6068114746211869,ATG4B,Valid,Rabbit,Protein,1.4030925810572343,2.2715489350222615
62,AGID00227,2658.901219606267,3658,Set181,ANNEXIN1,0.31921760785305997,GSK3A/GSK3B,Under Evaluation,Rabbit,PTM,-0.06731011258971932,2.164574439373002
63,AGID00037,734.3467143141096,5649,Old,ERALPHA,0.4078127131262329,XIAP,Valid,Rabbit,Protein,-0.7139634236318486,5.601292788574967
64,AGID00341,871.1592789070389,14649,Set181,EPPK1,0.09739124832980156,DAPK1,Valid,Rabbit,PTM,-0.40373224074599384,5.228120856580907
65,AGID02195,1877.4838834441875,9198,Old,DVL3,0.6093400504237461,GLI3,Under Evaluation,Mouse,Protein,0.17002045574722302,0.18812596416299843
